model_key,data_fraction_pct,status,checkpoint_dir,mean_cumulative_reward,mean_cumulative_reward_all_cells,eval_result_dir
a1_without,50,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/a1_without/p50/0001_epoch,20.79133200,20.79133199,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/a1_without/p50
a1_without,60,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/a1_without/p60/0001_epoch,20.75786400,20.75786392,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/a1_without/p60
a1_without,70,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/a1_without/p70/0001_epoch,20.62427000,20.62427041,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/a1_without/p70
a1_without,80,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/a1_without/p80/0001_epoch,20.71095200,20.71095251,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/a1_without/p80
a1_without,90,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/a1_without/p90/0001_epoch,20.73677600,20.73677636,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/a1_without/p90
a1_without,100,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/a1_without/p100/0001_epoch,20.61617500,20.61617539,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/a1_without/p100
minicheetah_without,0,ok,/workspace/vintix_go2/models/minicheetah_without/minicheetah_without/0001_epoch,-0.17356200,-0.17356202,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/minicheetah_without/p00
minicheetah_without,10,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/minicheetah_without/p10/0001_epoch,19.98448700,19.98448658,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/minicheetah_without/p10
minicheetah_without,20,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/minicheetah_without/p20/0001_epoch,20.29367900,20.29367922,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/minicheetah_without/p20
minicheetah_without,30,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/minicheetah_without/p30/0001_epoch,20.32569900,20.32569928,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/minicheetah_without/p30
minicheetah_without,40,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/minicheetah_without/p40/0001_epoch,20.32467500,20.32467448,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/minicheetah_without/p40
minicheetah_without,50,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/minicheetah_without/p50/0001_epoch,20.43118800,20.43118766,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/minicheetah_without/p50
minicheetah_without,60,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/minicheetah_without/p60/0001_epoch,19.97191900,19.97191883,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/minicheetah_without/p60
minicheetah_without,70,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/minicheetah_without/p70/0001_epoch,20.02623200,20.02623159,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/minicheetah_without/p70
minicheetah_without,80,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/minicheetah_without/p80/0001_epoch,20.37306100,20.37306092,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/minicheetah_without/p80
minicheetah_without,90,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/minicheetah_without/p90/0001_epoch,20.39095800,20.39095758,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/minicheetah_without/p90
minicheetah_without,100,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/minicheetah_without/p100/0001_epoch,20.37927500,20.37927480,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/minicheetah_without/p100
